region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Asia,Japan,Clothes,Online,M,19-09-2010,448247879,20-09-2010,8151,109.28,35.84,890741.28,292131.84,598609.44
North America,United States,Baby Food,Offline,L,21-10-2011,726269759,27-10-2011,599,255.28,159.42,152912.72,95492.58,57420.14
South America,Chile,Snacks,Offline,C,12-09-2017,558931502,22-09-2017,5749,152.58,97.44,877182.42,560182.56,316999.86
Africa,Nigeria,Office Supplies,Offline,H,21-03-2017,687137492,31-03-2017,157,651.21,524.96,102239.97,82418.72,19821.25
Asia,Japan,Cosmetics,Offline,H,25-10-2014,856561446,26-10-2014,5357,437.2,263.33,2342080.4,1410658.81,931421.59
South America,Argentina,Household,Online,C,18-08-2015,355807736,28-08-2015,8838,668.27,502.54,5906170.26,4441448.52,1464721.74
Australia and Oceania,Australia,Office Supplies,Offline,L,07-11-2013,831909830,15-11-2013,1400,651.21,524.96,911694,734944,176750
South America,Brazil,Beverages,Online,L,11-09-2016,156830800,17-09-2016,9643,47.45,31.79,457560.35,306550.97,151009.38
Australia and Oceania,Fiji,Clothes,Online,L,21-07-2012,249738944,27-07-2012,1659,109.28,35.84,181295.52,59458.56,121836.96
North America,Canada,Cosmetics,Online,M,08-04-2012,441309202,10-04-2012,8416,437.2,263.33,3679475.2,2216185.28,1463289.92
Australia and Oceania,New Zealand,Fruits,Offline,H,04-12-2014,251489050,06-12-2014,9057,9.33,6.92,84501.81,62674.44,21827.37
South America,Chile,Beverages,Offline,H,29-10-2014,111089650,02-11-2014,8955,47.45,31.79,424914.75,284679.45,140235.3
Europe,Germany,Snacks,Online,M,13-12-2014,121964162,15-12-2014,2434,152.58,97.44,371379.72,237168.96,134210.76
North America,United States,Cosmetics,Online,M,18-09-2016,118451677,24-09-2016,1711,437.2,263.33,748049.2,450557.63,297491.57
South America,Argentina,Cereal,Online,M,25-09-2016,452968855,05-10-2016,7949,205.7,117.11,1635109.3,930907.39,704201.91
Africa,Nigeria,Snacks,Online,H,28-03-2017,571714699,04-04-2017,6989,152.58,97.44,1066381.62,681008.16,385373.46
Europe,Germany,Household,Online,H,30-06-2010,927852317,01-07-2010,5310,668.27,502.54,3548513.7,2668487.4,880026.3
Asia,China,Beverages,Offline,M,14-02-2013,462098745,17-02-2013,3402,47.45,31.79,161424.9,108149.58,53275.32
South America,Brazil,Snacks,Offline,H,07-05-2015,291592434,14-05-2015,9705,152.58,97.44,1480788.9,945655.2,535133.7
Africa,Libya,Cosmetics,Online,M,28-11-2014,579138859,08-12-2014,4965,437.2,263.33,2170698,1307433.45,863264.55
Europe,Italy,Office Supplies,Offline,H,01-09-2011,678359179,05-09-2011,5850,651.21,524.96,3809578.5,3071016,738562.5
Europe,France,Personal Care,Online,H,05-06-2010,605822790,07-06-2010,5876,81.73,56.67,480245.48,332992.92,147252.56
Australia and Oceania,Fiji,Baby Food,Online,H,20-10-2015,884202035,28-10-2015,572,255.28,159.42,146020.16,91188.24,54831.92
North America,United States,Cereal,Online,H,07-08-2012,808233663,08-08-2012,2823,205.7,117.11,580691.1,330601.53,250089.57
Africa,Egypt,Office Supplies,Online,L,15-04-2011,939378217,16-04-2011,698,651.21,524.96,454544.58,366422.08,88122.5
Africa,Nigeria,Baby Food,Offline,L,29-04-2012,479090369,08-05-2012,7546,255.28,159.42,1926342.88,1202983.32,723359.56
Asia,Japan,Office Supplies,Online,L,09-08-2011,624510863,16-08-2011,2073,651.21,524.96,1349958.33,1088242.08,261716.25
North America,United States,Clothes,Offline,H,05-12-2014,746626318,07-12-2014,4765,109.28,35.84,520719.2,170777.6,349941.6
North America,United States,Clothes,Online,H,28-10-2015,762694479,03-11-2015,9228,109.28,35.84,1008435.84,330731.52,677704.32
Europe,Germany,Personal Care,Online,M,26-03-2014,851169351,31-03-2014,4749,81.73,56.67,388135.77,269125.83,119009.94
North America,United States,Clothes,Online,C,12-01-2010,130891076,16-01-2010,6133,109.28,35.84,670214.24,219806.72,450407.52
Asia,China,Office Supplies,Online,H,11-01-2013,461553508,15-01-2013,6310,651.21,524.96,4109135.1,3312497.6,796637.5
Africa,Egypt,Cosmetics,Online,C,06-01-2012,249324747,13-01-2012,5033,437.2,263.33,2200427.6,1325339.89,875087.71
North America,Mexico,Snacks,Online,C,06-02-2010,564622393,11-02-2010,8359,152.58,97.44,1275416.22,814500.96,460915.26
North America,Canada,Clothes,Online,C,21-06-2016,323889835,23-06-2016,7420,109.28,35.84,810857.6,265932.8,544924.8
South America,Chile,Vegetables,Online,M,07-06-2013,219782677,09-06-2013,7035,154.06,90.93,1083812.1,639692.55,444119.55
Australia and Oceania,Fiji,Clothes,Online,H,11-09-2016,926607519,14-09-2016,1888,109.28,35.84,206320.64,67665.92,138654.72
Europe,France,Fruits,Online,L,26-10-2011,812539089,02-11-2011,6792,9.33,6.92,63369.36,47000.64,16368.72
Australia and Oceania,Fiji,Office Supplies,Offline,L,20-02-2017,915934903,24-02-2017,4852,651.21,524.96,3159670.92,2547105.92,612565
Africa,Nigeria,Cosmetics,Offline,L,19-12-2014,621710327,27-12-2014,2661,437.2,263.33,1163389.2,700721.13,462668.07
Europe,Italy,Baby Food,Online,M,17-10-2013,439359125,27-10-2013,7190,255.28,159.42,1835463.2,1146229.8,689233.4
Europe,France,Snacks,Online,L,25-06-2013,625283554,26-06-2013,2150,152.58,97.44,328047,209496,118551
Asia,China,Cosmetics,Offline,H,08-04-2011,961783062,10-04-2011,1616,437.2,263.33,706515.2,425541.28,280973.92
Africa,Egypt,Fruits,Online,H,10-08-2011,276637569,16-08-2011,9911,9.33,6.92,92469.63,68584.12,23885.51
Europe,Germany,Personal Care,Offline,C,02-05-2017,544782536,12-05-2017,2484,81.73,56.67,203017.32,140768.28,62249.04
Australia and Oceania,New Zealand,Vegetables,Offline,C,08-02-2017,439320067,14-02-2017,1017,154.06,90.93,156679.02,92475.81,64203.21
North America,Canada,Fruits,Online,H,31-10-2013,545840504,02-11-2013,8204,9.33,6.92,76543.32,56771.68,19771.64
Africa,Nigeria,Vegetables,Offline,H,17-06-2010,579555115,18-06-2010,4767,154.06,90.93,734404.02,433463.31,300940.71
Asia,Singapore,Household,Online,M,20-04-2017,644149456,24-04-2017,4840,668.27,502.54,3234426.8,2432293.6,802133.2
Asia,Singapore,Office Supplies,Offline,C,05-03-2010,984794207,06-03-2010,365,651.21,524.96,237691.65,191610.4,46081.25
North America,United States,Cosmetics,Online,M,18-10-2010,224505713,23-10-2010,9541,437.2,263.33,4171325.2,2512431.53,1658893.67
Australia and Oceania,Fiji,Cosmetics,Online,H,26-04-2015,165989902,06-05-2015,7011,437.2,263.33,3065209.2,1846206.63,1219002.57
Africa,Nigeria,Household,Offline,H,31-01-2010,372013766,09-02-2010,5535,668.27,502.54,3698874.45,2781558.9,917315.55
North America,United States,Fruits,Online,L,22-11-2014,660064489,27-11-2014,6337,9.33,6.92,59124.21,43852.04,15272.17
Europe,Germany,Baby Food,Offline,C,19-02-2010,624120696,01-03-2010,3768,255.28,159.42,961895.04,600694.56,361200.48
Australia and Oceania,Australia,Cosmetics,Online,L,23-09-2013,144764750,03-10-2013,5066,437.2,263.33,2214855.2,1334029.78,880825.42
North America,United States,Cosmetics,Online,C,12-11-2010,543983576,20-11-2010,6749,437.2,263.33,2950662.8,1777214.17,1173448.63
Asia,Japan,Office Supplies,Offline,H,15-09-2013,641778061,18-09-2013,8619,651.21,524.96,5612778.99,4524630.24,1088148.75
Europe,France,Cereal,Offline,C,13-12-2010,398795929,17-12-2010,7918,205.7,117.11,1628732.6,927276.98,701455.62
Asia,China,Fruits,Online,C,04-05-2014,773925819,09-05-2014,7096,9.33,6.92,66205.68,49104.32,17101.36
Europe,Italy,Snacks,Online,H,05-02-2013,843788619,15-02-2013,7103,152.58,97.44,1083775.74,692116.32,391659.42
North America,United States,Baby Food,Online,M,04-06-2012,304938309,10-06-2012,9187,255.28,159.42,2345257.36,1464591.54,880665.82
Asia,India,Household,Offline,M,29-09-2011,440253551,06-10-2011,961,668.27,502.54,642207.47,482940.94,159266.53
Asia,Japan,Snacks,Online,M,07-02-2014,725456123,16-02-2014,3464,152.58,97.44,528537.12,337532.16,191004.96
South America,Brazil,Beverages,Online,C,12-02-2014,173578012,15-02-2014,9407,47.45,31.79,446362.15,299048.53,147313.62
Australia and Oceania,New Zealand,Beverages,Online,M,25-10-2016,328065812,27-10-2016,9557,47.45,31.79,453479.65,303817.03,149662.62
Africa,Nigeria,Office Supplies,Offline,L,28-11-2012,447188048,07-12-2012,9662,651.21,524.96,6291991.02,5072163.52,1219827.5
South America,Brazil,Vegetables,Offline,C,05-08-2017,812670221,10-08-2017,725,154.06,90.93,111693.5,65924.25,45769.25
Europe,Spain,Fruits,Offline,M,17-07-2015,661867697,20-07-2015,7305,9.33,6.92,68155.65,50550.6,17605.05
South America,Argentina,Baby Food,Offline,C,13-04-2010,744359060,15-04-2010,1609,255.28,159.42,410745.52,256506.78,154238.74
Asia,Singapore,Fruits,Online,L,18-02-2014,315444916,26-02-2014,2719,9.33,6.92,25368.27,18815.48,6552.79
Europe,France,Snacks,Online,L,09-07-2014,338635795,10-07-2014,1957,152.58,97.44,298599.06,190690.08,107908.98
Africa,Kenya,Baby Food,Online,H,20-10-2015,931956801,24-10-2015,6387,255.28,159.42,1630473.36,1018215.54,612257.82
Australia and Oceania,Australia,Fruits,Online,C,04-09-2013,748963191,10-09-2013,9341,9.33,6.92,87151.53,64639.72,22511.81
Asia,China,Clothes,Online,H,25-11-2010,565543196,04-12-2010,238,109.28,35.84,26008.64,8529.92,17478.72
